t,alpha,w,h,ring,horns,eyes,copy,drain,line,tilt,turn,squash,wink,horn_lag,frame
532,1.000000,308,76,0.124537,0.000000,0.000000,0.880374,1.000000,0.268966,0.000000,0.000000,1.000000,0.000000,0.000000,12
536,1.000000,308,76,0.138101,0.000000,0.000000,0.895667,1.000000,0.255172,0.000000,0.000000,1.000000,0.000000,0.000000,13
540,1.000000,308,76,0.152555,0.000000,0.000000,0.909609,1.000000,0.241379,0.000000,0.000000,1.000000,0.000000,0.000000,13
544,1.000000,308,76,0.167905,0.000000,0.000000,0.922262,1.000000,0.227586,0.000000,0.000000,1.000000,0.000000,0.000000,14
548,1.000000,308,76,0.184144,0.000000,0.000000,0.933687,1.000000,0.213793,0.000000,0.000000,1.000000,0.000000,0.000000,14
552,1.000000,308,76,0.201255,0.000000,0.000000,0.943947,1.000000,0.200000,0.000000,0.000000,1.000000,0.000000,0.000000,15
556,1.000000,308,76,0.219205,0.000000,0.000000,0.953102,1.000000,0.186207,0.000000,0.000000,1.000000,0.000000,0.000000,15
560,1.000000,308,76,0.237947,0.000000,0.000000,0.961214,1.000000,0.172414,0.000000,0.000000,1.000000,0.000000,0.000000,16
564,1.000000,308,76,0.257422,0.000000,0.000000,0.968343,1.000000,0.158621,0.000000,0.000000,1.000000,0.000000,0.000000,16
568,1.000000,308,76,0.277550,0.000000,0.000000,0.974551,1.000000,0.144828,0.000000,0.000000,1.000000,0.000000,0.000000,17
572,1.000000,308,76,0.298242,0.000000,0.000000,0.979900,1.000000,0.131034,0.000000,0.000000,1.000000,0.000000,0.000000,17
576,1.000000,308,76,0.319394,0.000000,0.000000,0.984450,1.000000,0.117241,0.000000,0.000000,1.000000,0.000000,0.000000,18
580,1.000000,308,76,0.340895,0.000000,0.000000,0.988264,1.000000,0.103448,0.000000,0.000000,1.000000,0.000000,0.000000,18
584,1.000000,308,76,0.362627,0.000000,0.000000,0.991404,1.000000,0.089655,0.000000,0.000000,1.000000,0.000000,0.000000,19
588,1.000000,308,76,0.384472,0.000000,0.000000,0.993933,1.000000,0.075862,0.000000,0.000000,1.000000,0.000000,0.000000,19
592,1.000000,308,76,0.406316,0.000000,0.000000,0.995915,1.000000,0.062069,0.000000,0.000000,1.000000,0.000000,0.000000,20
596,1.000000,308,76,0.428050,0.000000,0.000000,0.997414,1.000000,0.048276,0.000000,0.000000,1.000000,0.000000,0.000000,20
600,1.000000,308,76,0.449574,0.000000,0.000000,0.998495,1.000000,0.034483,0.000000,0.000000,1.000000,0.000000,0.000000,21
604,1.000000,308,76,0.470799,0.000000,0.000000,0.999225,1.000000,0.020690,0.000000,0.000000,1.000000,0.000000,0.000000,21
608,1.000000,308,76,0.491651,0.000000,0.000000,0.999671,1.000000,0.006897,0.000000,0.000000,1.000000,0.000000,0.000000,22
612,1.000000,308,76,0.512066,0.000000,0.000000,0.999902,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,22
616,1.000000,308,76,0.531993,0.000000,0.000000,0.999988,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,23
620,1.000000,308,76,0.551396,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,23
624,1.000000,308,76,0.570244,0.000000,0.000000,1.000000,0.998450,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,24
